date,location,procedure_count,alert
12/11/2025,בת ים - גסטרו,23,NO_STAFF_COVERAGE
12/10/2025,חדרה,62,NO_STAFF_COVERAGE
12/10/2025,בת ים - גסטרו,37,NO_STAFF_COVERAGE
11/12/2025,חדרה,68,NO_STAFF_COVERAGE
11/12/2025,בת ים - גסטרו,41,NO_STAFF_COVERAGE
11/11/2025,בת ים - גסטרו,62,NO_STAFF_COVERAGE
11/11/2025,חדרה,18,NO_STAFF_COVERAGE
11/11/2025,בת ים - עיניים,1,NO_STAFF_COVERAGE
11/10/2025,בת ים - עיניים,7,NO_STAFF_COVERAGE
10/12/2025,בת ים - גסטרו,40,NO_STAFF_COVERAGE
10/12/2025,חדרה,9,NO_STAFF_COVERAGE
10/11/2025,בת ים - עיניים,1,NO_STAFF_COVERAGE
10/11/2025,חדרה,33,NO_STAFF_COVERAGE
10/11/2025,בת ים - גסטרו,50,NO_STAFF_COVERAGE
10/10/2025,חדרה,54,NO_STAFF_COVERAGE
09/12/2025,חדרה,60,NO_STAFF_COVERAGE
09/12/2025,בת ים - עיניים,23,NO_STAFF_COVERAGE
09/11/2025,חדרה,43,NO_STAFF_COVERAGE
09/11/2025,בת ים - גסטרו,62,NO_STAFF_COVERAGE
09/10/2025,חדרה,46,NO_STAFF_COVERAGE
09/10/2025,בת ים - גסטרו,42,NO_STAFF_COVERAGE
08/12/2025,חדרה,33,NO_STAFF_COVERAGE
08/10/2025,חדרה,25,NO_STAFF_COVERAGE
07/12/2025,חדרה,41,NO_STAFF_COVERAGE
07/12/2025,בת ים - גסטרו,49,NO_STAFF_COVERAGE
07/11/2025,חדרה,44,NO_STAFF_COVERAGE
07/11/2025,בת ים - גסטרו,31,NO_STAFF_COVERAGE
06/11/2025,בת ים - גסטרו,46,NO_STAFF_COVERAGE
06/11/2025,חדרה,38,NO_STAFF_COVERAGE
06/10/2025,חדרה,28,NO_STAFF_COVERAGE
06/10/2025,בת ים - גסטרו,9,NO_STAFF_COVERAGE
05/12/2025,חדרה,70,NO_STAFF_COVERAGE
05/11/2025,בת ים - עיניים,1,NO_STAFF_COVERAGE
05/11/2025,בת ים - גסטרו,11,NO_STAFF_COVERAGE
05/11/2025,חדרה,30,NO_STAFF_COVERAGE
05/10/2025,בת ים - גסטרו,20,NO_STAFF_COVERAGE
05/10/2025,חדרה,53,NO_STAFF_COVERAGE
04/12/2025,חדרה,83,NO_STAFF_COVERAGE
04/11/2025,חדרה,67,NO_STAFF_COVERAGE
04/11/2025,בת ים - גסטרו,43,NO_STAFF_COVERAGE
04/11/2025,בת ים - עיניים,12,NO_STAFF_COVERAGE
03/12/2025,בת ים - גסטרו,32,NO_STAFF_COVERAGE
03/12/2025,חדרה,25,NO_STAFF_COVERAGE
03/11/2025,בת ים - גסטרו,38,NO_STAFF_COVERAGE
03/11/2025,בת ים - עיניים,1,NO_STAFF_COVERAGE
03/11/2025,חדרה,16,NO_STAFF_COVERAGE
03/10/2025,חדרה,10,NO_STAFF_COVERAGE
02/12/2025,בת ים - גסטרו,50,NO_STAFF_COVERAGE
02/12/2025,חדרה,59,NO_STAFF_COVERAGE
02/11/2025,חדרה,42,NO_STAFF_COVERAGE
02/11/2025,בת ים - גסטרו,60,NO_STAFF_COVERAGE
01/12/2025,בת ים - גסטרו,33,NO_STAFF_COVERAGE
01/12/2025,חדרה,42,NO_STAFF_COVERAGE
01/10/2025,בת ים - גסטרו,16,NO_STAFF_COVERAGE
